ID;LENGTHPLANTRANS;TIMELINETRANCONSCIENT;TIMEMAJORCONSCIENT;TIMEONLINECONSCIENT;FREQADVISTRANS;HOMEWORKHOURS;FREQAPPOINTUTOR;ASKHELP;CLASSATTENDANCE;EARLYREADINGMAG;EARLYREADINGBOOKS;EARLYREADINGBOOKMAG;EARLYREADINGINTERNET;HS;GED;CCDIRECT;SELFASSESSCOMPUT;CLASSDISCUSS_UNCOMFORT;FREQCLASSDISUSS;CONFIDTHIRDFOURTH;CONFIDTERMPAPER;CONFIDRESEARCH;CONFIDTESTPERFORM;CONFIDORGAN;CONFIDCLASSDISCUSS;CAMPUSTIME;CTIMESOCIALIZING;CTIMEHW;CTIMEXTRAC;CTIMECOMPUTER;TRANSFERDESIRE;ACAD_ACTIVITIES_CLUBS;SOCCULTATTEND;CLOSESTFRBA1;CLOSESTFRBA2;CLOSESTFR3COLL1;CLOSESTFR3COLL2;CLOSESTFR3COLL3;CLOSESTFRBA4;CLOSESTFRBA5;COLLEGEFRIENDSPROP;FREQADVGOALADVISORS;FREQADVGOALFAC;FREQADVGOALMENT;FREQADVGOALPAR;FREQADVGOALSIB;FREQADVGOALCOLLFR;FREQADVGOALNCOLLFR;PRIADVGOALADVISORS;PRIADVGOALFAC;PRIADVGOALMENT;PRIADVGOALPAR;PRIADVGOALSIB;PRIADVGOALCOLLFR;PRIADVGOALNCOLLFR;FREQADVCRSSELADVISORS;FREQADVCRSSELFAC;FREQADVCRSSELMENT;FREQADVCRSSELPAR;FREQADVCRSSELSIB;FREQADVCRSSELCOLLFR;FREQADVCRSSELNCOLLFR;PRIADVCRSSELADVISORS;PRIADVCRSSELFAC;PRIADVCRSSELMENT;PRICRSSELPAR;PRICRSSELSIB;PRICRSSELCOLLFR;PRICRSSELNCOLLFR;PARTTIMERECENT;CHILDREN;CHILDRENINTERF;WORKHRS;WORKINTERF;FINANCECHALL;INDEP;MARITAL;MOTHOCCUP;MOTHOCCUPCODE;FATHOCCUP;FATHOCCUPCODE;MOTHEDUC;FATHEDUC;MAXPAREDUC;SIB1EDUC;SIB2EDUC;SIB3EDUC;NONNUCEDUC;PARHOUSEOWNRENT;PARHOUSEOWN;HSTRAVEL;AGE;GENDMALE;RACE;DISABILITY;ENGHOME;HOMELANG
12;1;1;4;4;1;3;1;5;1;3;3;6;5;Early College Academy;0;2;5;3;2;2;5;4;8;7;8;5;4;1;2;3;1;0;0;1;5;3;5;5;5;5;4;2;10;0;10;0;1;0;1;3;4;2;6;5;7;1;2;3;4;6;5;7;1;2;3;4;6;5;7;0;0;0;1;0;3;0;0;Various;.;Entrepreneur;.;16;12;16;8;.;.;2;1;2;1;19;1;3;0;1;.
13;2;4;5;1;2;2;1;1;2;0;0;0;0;Grants High School;0;1;5;3;2;3;8;10;8;10;7;3;5;1;5;5;2;0;0;1;5;3;5;5;5;5;4;1;0;0;1;1;1;0;1;1;2;1;2;2;2;6;0;0;0;0;0;0;1;1;1;1;7;7;7;0;0;0;0;0;3;0;0;none;.;HS college math teacher;.;10;16;16;14;12;14;4;0;1;3;18;0;4;0;0;Spanish
14;1;2;4;1;2;2;1;3;1;0;2;2;10;Manzano High School;0;1;4;3;2;3;5;2;8;10;8;2;5;1;5;5;1;0;0;1;4;2,5;4;3;4;2;4;1;0;0;10;10;10;10;1;3;6;2;5;4;7;1;0;0;10;10;10;0;3;2;4;7;6;5;7;0;0;2;2;1;2;0;0;Human Resources;.;City Police;.;16;16;16;16;.;.;1;1;2;1;18;0;5;0;0;Navajo
15;1;3;4;2;1;2;1;1;1;0;0;0;5;West Mesa;0;1;4;3;2;4;7;7;8;9;10;1;2;1;5;3;3;0;0;1;2;1,5;3;4,5;4;5;2;0;0;0;2;2;2;0;3;7;3;1;2;7;7;2;0;2;2;2;2;0;2;7;7;1;2;7;7;0;0;1;2;1;3;0;0;none;.;baker;.;6;6;6;12;12;12;1;0;0;2;18;1;4;0;0;Spanish
16;3;1;5;1;1;2;3;4;2;2;0;2;2;Austin HS  El Paso;0;2;4;3;2;3;5;10;10;10;5;5;5;3;4;5;3;1;0;1;5;3;1;5;5;5;4;0;2;0;0;0;2;2;1;1;1;5;5;2;7;2;0;0;0;0;0;0;1;1;2;7;7;1;3;1;0;0;2;3;3;1;0;Zoo Keeper;.;Army;.;14;12;14;12;12;12;1;0;0;2;24;1;3;0;1;.
17;1;2;3;1;2;3;1;1;2;0;3;3;5;Sandia High School;0;1;2;2;1;2;5;5;5;10;4;4;1;3;0;5;2;0;0;1;3;2;2;4,5;5;4;3;2;0;0;2;2;5;1;1;5;3;2;1;4;1;1;0;0;3;2;5;0;1;0;2;2;6;6;7;0;0;2;1;1;2;1;0;State employee;.;Carpenter;.;.;.;.;.;.;.;1;1;2;3;18;0;4;0;1;.
18;3;1;5;2;1;3;1;3;2;0;5;5;2;GED;1;3;5;3;2;3;7;6;6;5;5;3;4;2;3;1;2;0;0;1;5;3;4;2,5;3;2;2;1;1;0;3;0;0;5;2;3;4;1;7;5;6;1;0;0;0;0;0;0;1;2;4;3;7;5;6;0;0;0;2;2;4;1;2;.;.;IT;.;12;16;16;.;.;.;1;1;2;2;26;0;4;0;1;.
19;3;2;5;2;1;1;3;3;2;2;2;4;2;Albuquerque HS;0;2;4;3;1;3;5;6;4;8;7;0;2;3;5;1;3; ;0;3; ;3; ;3;3; ;3;2;0;0;2;0;2;0;2;6;2;5;4;4;7;2;0;2;0;0;0;0;1;2;2;5;6;6;7;0;0;0;0;0;3;0;0;Custodian;.;Manager RadioShack;.;.;.;.;12;.;.; ;0;0;1;19;0;4;0;0;.
20;3;1;3;1;1;2;1;4;2;0;2;2;4;GED Central NM College;1;3;4;3;2;3;3;3;4;7;7;4;5;1;5;5;1;0;0;1;1;1;5;5;5;5;4;2;0;0;0;3;3;2;1;1;1;1;1;1;1;0;0;0;1;2;1;0;1;1;1;1;1;1;1;1;1;2;0;0; ;1;0;.;.;.;.;.;.;.;.;.;.;1;0;0;0;25;0;5;0;1;.
21;1;2;5;4;2;3;1;4;1;4;10;14;5;Cottonwood Classical Prep;0;1;4;1;2;4;7;8;8;7;9;3;5;1;4;2;3;0;1;4;2;3;1;4;3;5;4;3;4;2;1;5;6;7;2;3;4;1;5;6;7;3;1;0;4;3;5;0;2;3;4;1;5;6;7;0;0;0;2;0;1;0;0;Technician  Medical ) Assistant;.;Heating Air Conditioning Technician;.;14;10;14;.;.;.;1;1;2;1;18;0;4;0;1;.
22;2;1;2;1;1;2;4;1;2;5;0;5;14;Cibola;0;1;3;2;1;2;7;6;7;8;5;1;2;1;5;1;3;0;0;1;5;3;5;5;5;5;4;3;0;0;3;0;2;0;1;2;3;5;6;4;7;3;0;0;0;1;5;0;1;3;2;5;6;4;7;1;0;0;2;2;2;1;1;Assist. Mgr.  Bank );.;Engineer Intell;.;12;14;14;12;.;.;1;1;2;1;21;0;4;0;1;.
23;3;1;3;1;1;1;2;1;1;0;8;8;0;Del Norte;0;1;2;2;2;1;5;7;4;8;5;2;5;2;5;5;2;0;0;1;5;3;5;3,5;5;2;2;2;0;0;3;5;0;0;2;6;2;3;4;5;7;2;0;0;3;0;0;0;1;3;2;5;6;4;7;1;0;0;0;0;3;0;0;Paralegal;.;Electrician;.;14;12;14;12;12;.;2;1;2;2;18;0;3;0;1;.
24;3;1;4;1;1;2;2;3;1;0;0;0;0;Belen;0;1;5;1;3;2;3;3;1;5;10;5;2;3;1;5;1;0;0;5;5;5;5;5;5;5;4;0;0;0;0;0;0;0;7;6;5;1;2;3;4;6;7;7;5;4;3;2;1;2;4;5;7;6;3;0;0;1;0;0;1;0;0;Chef;.;Military-Retired;.;.;.;.;.;.;.;4;1;2;0;20;0;3;1;1;.
25;2;1;4;1;1;1;1;1;2;0;8;8;8;GED AHS Manzano;1;3;4;2;2;4;10;10;8;7;8;2;2;1;5;4;2;0;0;1;3;2;5;3,5;5;2;4;3;0;0;0;0;0;0;2;2;7;4;4;5;5;0;0;0;0;0;0;0;1;2;7;7;7;7;7;0;0;0;0;0;4;1;0;Journalist;.;Nurse;.;16;12;16;12;12;.;3;1;2;2;20;1;6;0;1;.
26;1;2;3;2;1;3;4;1;1;0;0;0;2;Highland HS;0;1;2;3;2;4;7;7;7;0;0;3;5;1;5;5;2;0;0;1;5;3;2;5;5;5;4;0;0;0;2;0;0;0;2;7;7;1;2;2;7;2;0;0;2;0;2;0;1;7;7;2;7;2;7;0;0;1;0;1;3;0;0;Unemployed;.;Unemployed;.;12;12;12;14;14;.;4;0;1;3;20;.;2;0;0;.
27;3;1;5;1;1;2;3;3;3;0;1;1;4;West Mesa;0;1;5;2;1;3;9;8;8;9;7;2;3;1;5;4;1;0;0;1;2;1,5;5;5;5;5;2;10;0;0;10;0;2;0;3;4;1;2;6;5;7;5;0;0;0;0;5;0;1;3;4;5;6;2;7;0;0;0;0;0;4;0;0;NA;.;Labor;.;16;16;16;16;16;16;4;1;2;0;20;1;4;0;0;.
28;2;3;5;2;1;2;2;5;3;1;1;2;1;Freedom HS;0;2;5;3;3;4;7;8;8;8;8;5;1;2;4;3;3;3;2;1;2;1,5;3;4,5;4;5;4;3;3;3;0;0;3;0;1;4;2;5;6;3;7;2;1;2;0;0;3;0;1;2;3;5;6;4;7;0;0;0;2;1;4;0;0;NA;.;Salesman;.;.;14;14;.;.; ;1;0;1;0;22;1;6;0;1;.
29;1;2;5;1;2;3;4;5;1;1;0;1;0;Upland HS CA;0;2;2;4;3;4;8;8;7;8;10;5;5;1;2;3;3;0;1;1;2;1,5;3;4,5;4;5;2;2;10;10;0;0;0;0;2;3;1;7;4;5;6;2;10;10;0;0;0;0;2;3;1;7;4;5;6;0;0;0;0;0;1;1;2;ged Self-employed;.;ged Self employed;.;12;12;12;12;12;12;1;1;2;1;28;1;3;1;1;.
30;2;1;5;1;1;3;1;1;1;10;15;25;45;Los Lunas HS;0;2;5;2;2;4;9;10;10;8;8;3;3;1;4;2;2;0;0;1;3;2;5;3;4;2;3;1;0;0;2;4;8;1;6;5;7;2;3;1;4;1;0;0;0;2;4;0;1;3;5;6;4;2;7;0;1;1;2;1;3;1;0;Special Ed Assistant;.;Inventory Mgt;.;12;12;12;12;12;12;2;0;0;2;22;1;3;0;1;.
31;3;4;5;4;4;2;3;4;2;3;1;4;6;Greeley Central HS CO;0;2;3;4;3;2;7;6;7;7;9;2;5;1;5;2;3;0;0;1;2;1,5;4;4;3;5;4;0;20;1;3;12;6;6;7;1;6;3;2;4;5;0;10;0;4;6;6;0;4;1;5;6;2;3;7;0;0;0;2;3;4;1;1;Admin Asst.;.;Warehouse Shipping;.;12;12;12;16;.;.;1;1;2;1;29; ;3;0;1;.
32;1;2;5;4;4;2;4;4;2;0;3;3;0;Sue. V Cleveland;0;1;4;3;3;2;7;10;7;10;9;2;3;1;2;5;1;0;1;1;5;3;5;5;5;5;4;4;1;20;20;0;20;0;1;5;4;2;6;3;7;4;1;1;20;0;20;0;1;3;4;2;6;5;7;0;0;1;3;2;1;0;1;Health care;.;welder;.;.;16;16;12;.;.;3;1;2;2;20;1;3;1;1;.
33;1;1;5;1;1;1;2;1;1;0;0;0;2;Bataan Military Academy;0;1;3;4;3;3;0;10;0;0;0;5;1;1;5;1;2;0;2;1;5;3;5;5;5;5;3;0;0;0;0;2;2;0;7;7;7;1;1;1;7;0;0;0;2;2;2;0;5;5;5;1;1;1;5;0;0;0;2;0;2;0;0;.;.;.;.;.;.;.;.;.;.;4;0;0;1;21;1;4;1;1;.
34;1;2;5;1;1;1;3;4;1;0;3;3;5;Sandia High School;0;1;2;4;3;3;5;6;6;10;10;3;3;2;5;2;2;0;1;1;1;1;5;5;5;5;4;5;5;3;0;0;10;0;2;1;3;4;6;5;7;5;0;0;0;0;0;0;7;3;2;5;6;4;7;0;0;0;0;0;2;0;0;Budget Analyst;.;.;.;16;16;16;14;.;.;2;0;1;3;18;0;2;1;1;.
35;2;2;5;2;2;2;1;3;1;2;2;4;5;GED Los Lunas;1;1;3;4;3;4;7;8;7;8;10;0;2;3;4;1;3;0;0;1;5;3;4;2,5;3;2;3;1;2;0;3;3;5;3;1;2;3;6;4;5;7;1;1;0;0;5;8;0;1;2;5;6;3;4;7;0;1;2;0;0;2;1;0;Bum;.;Artist;.;12;12;12;.;.;.;1;0;0;2;19;0;6;0;1;.
36;2;4;5;4;4;3;4;4;1;1;2;3;0;Tohatchi HS;0;2;4;3;1;4;5;7;5;10;10;5;3;1;5;2;3;0;0;1;5;3;5;5;5;5;0;5;0;2;10;3;5;1;2;7;1;4;5;3;6;4;0;4;0;0;0;1;2;7;1;5;6;4;3;0;1;2;0;0;4;1;2;Professor   UNM);.;Supervisor   Econ Security;.;20;14;20;13;14;.;2;1;2;1;29;0;5;1;1;.
37;2;2;4;1;1;3;1;5;2;2;5;7;10;Gallup HS;0;2;5;4;3;4;8;8;0;5;10;5;5;1;5;5;3;0;0;1;3;2;5;5;5;5;4;2;0;0;2;2;2;0;1;5;6;3;4;2;7;4;0;0;20;20;20;0;1;3;4;5;6;2;7;0;0;0;2;3;4;0;0;Athletic Director;.;District Mgr;.;14;12;14;12;12;12;2;1;2;3;20;0;6;0;1;.
38;1;2;2;2;1;1;1;1;3;0;1;1;5;Taos HS;0;1;4;3;1;4;10;10;10;10;10;3;5;3;5;1;3;0;0;1;3;2;2;4,5;4;5;3;0;0;0;10;5;10;0;5;7;6;1;3;2;4;0;0;0;5;5;5;0;5;7;6;1;3;2;6;0;0;0;2;3;2;0;0;Personal Trainer;.;Auto Mechanic;.;14;14;14;.;.;.;2;1;2;3;21;1;4;0;1;.
39;1;4;5;3;4;3;3;5;2;10;10;20;10;Citizen's HS;0;1;4;3;3;3;10;10;10;10;10;3;2;1;5;3;2;2;5;2;1;1,5;3;4,5;4;5;4;0;1;0;2;2;4;6;4;6;5;2; ;1;7;4;0;0;0;0;2;0;1;3;2;6;5;4;7;0;0;0;3;2;4;1;0;Unemployed;.;Disabled Unemployed;.;12;12;12;14;8;12;1;0;0;1;29;0;3;0;1;.
40;1;3;5;1;1;3;4;1;2;0;0;0;10;Foreign High School;0;2;5;4;3;2;10;10;10;10;10;5;5;1;5;1;2;0;0;5;1;3;5;5;5;5;0;3;0;0;0;0;0;3;3;3;0;3;3;5;3;3;3;0;0;3;0;3;3;3;7;3;3;7;3;1;1;3;0;3;3;1;1;NA;.;Retired;.;.;.;.;.;.;.;4;1;2;3;31;0;6;0;0;Arabic
41;1;4;5;3;1;1;1;4;2;3;2;5;5;Eldorado High School;0;2;5;4;3;1;7;8;8;5;10;3;4;1;2;3;1;1;5;1;3;2;2;4,5;4;5;4;2;2;0;3;2;2;0;1;2;4;3;5;6;7;2;0;0;2;1;2;0;1;2;3;4;5;6;7;1;0;0;0;0;2;0;0;Student;.;NA;.;12;14;14;.;.;.;2;0;0;1;21;.;3;1;1;.
42;1;1;2;2;1;1;1;1;1;2;0;2;2;Rio Grande HS;0;1;4;3;2;3;7;10;10;9;9;0;2;1;5;5;3;0;0;2;3;2,5;4;3;5;1;1;3;1;0;0;0;1;0;1;2;6;3;4;7;5;0;0;0;0;0;0;0;1;2;6;7;3;4;5;0;0;0;2;1;3;0;0;Health care;.;Construction;.;12;8;12;16;.;.;1;1;2;3;18;.;4;0;0;Spanish
43;3;4;5;4;1;3;4;5;1;0;6;6;2;In Africa;0;2;4;4;2;3;5;5;5;5;5;4;3;1;1;3;1;1;0;5;5;5;5;5;5;5;3;3;2;0;0;0;0;0;6;7;4;1;2;3;7;6;2;0;0;0;0;0;1;6;5;3;4;2;7;1;1;3;0;0;3;1;1;.;.;.;.;.;.;.;.;.;.;2;1;2;0;.;0;1;0;0;undisclosed
44;3;1;5;4;3;2;1;5;1;0;0;0;0;American School;0;1;2;3;1;2;5;6;6;7;3;4;1;2;4;2;3;0;0;1;5;3;5;5;5;5;2;0;0;0;0;0;3;0;4;4;4;1;1;1;4;0;0;0;2;2;2;0; ; ; ; ; ; ; ;1;0; ; ; ; ;0;0;.;.;.;.;.;.;.;.;.;.; ; ; ; ;.;1;3; ;0;.
45;1;2;4;2;2;1;1;2;2;2;1;3;5;AHA;0;1;5;4;3;4;8;7;8;6;5;2;3;3;3;3;1;0;1;5;5;5;5;5;5;5;3;2;3;4;2;4;5;1; ; ; ; ; ; ; ;2;1;3;2;1;20;1;1;3;4;2;5;7;6;0;0;1;0;1;3;0;2;.;.;.;.;12;15;15;.;.;.;3;1;2;1;.;.;1;0;1;.
46;2;2;3;3;1;3;1;1;2;0;0;0;0;St. Pius HS;0;1;2;3;2;3;10;10;10;10;10;1;2;3;3;3;1;0;0;5;5;5;5;5;5;5;4;0;0;0;0;0;0;0;1;2;1;1;1;2;1;1;1;1;1;1;28;1;2;3;3;4;3;2;1;0;0;0;1;1;3;1;0;.;.;.;.;.;14;14;.;.;.;3;1;2;0;.;.;4;0;1;.
47;3;1;2;1;1;3;2;3;2;1;1;2;0;Rio Grande HS;0;2;2;3;2;3;8;8;7;8;10;1;5;4;1;2;3;2;0;1;2;1,5;3;4,5;5;4;3;2;1;0;0;1;4;0;2;3;1;7;6;4;5;2;1;0;0;1;4;0;2;3;1;7;6;4;5;0;1;1;0;0;1;1;0;Social Security Disabled;.;Social Security Retired;.;12;10;12;12;.;.;2;1;2;0;30;.;4;0;1;.
48;1;1;3;2;3;2;3;5;1;1;2;3;2;West Mesa;0;1;2;4;3;2;4;4;4;10;10;3;5;1;5;1;2;3;0;3;2;2,5;0;0;0;0;4;0;3;0;3;3;3;0;1;5;5;5;5;5;5;0;3;0;0;0;0;0;3;1;1;1;3;2;7;1;0;0;2;2;1;0;0;Paralegal;.;Retired Military;.;14;14;14;16;.;.;4;1;2;1;.;.;4;0;1;.
49;1;3;2;2;2;3;1;4;2;0;2;2;7;Rio Grande HS;0;1;4;3;2;2;6;5;8;10;6;2;2;1;5;5;2;0;0;1;4;2,5;4;4;4;4;4;1;3;0;10;10;0;0;5;6;4;1;2;7;3;1;0;0;20;10;0;0;1;5;4;2;3;6;7;0;0;0;2;2;2;0;0;NA;.;Car Salesman;.;12;10;12;12;12;12;1;1;2;0;18;0;4;0;1;.
50;3;1;2;1;1;2;1;4;1;2;0;2;3;Los Lunas HS;0;1;3;3;2;3;6;7;6;8;9;5;3;1;4;2;2;0;0;4;3;3,5;2;3;5;1;3;0;0;10;40;0;10;2;7;5;3;1;4;2;6;1;0;0;10;2;0;0;6;5;3;1;2;4;7;0;0;0;1;2;2;1;0;Business;.;Business;.;12;5;12;0;0;0;3;0;1;1;18;.;3;0;1;.
51;3;3;3;2;1;1;1;2;1;0;0;0;3;West Mesa;0;1;3;1;3;3;7;6;3;8;10;1;2;5;5;5;3;0;0;2;1;1,5;2;5;5;5;4;2;0;0;20;20;20;0;2;7;1;4;3;3;3;1;0;0;20;20;20;20;7;7;5;7;7;1;1;0;0;0;0;0;2;0;0;.;.;.;.;.;.;.;.;.;.;1;1;2;1;18;0;4;0;0;Spanish
52;1;2;4;1;1;2;4;5;2;4;4;8;0;Bernalillo HS;0;1;5;4;2;3;9;9;8;10;10;2;5;3;3;3;1;0;0;2;2;2;5;5;5;5;4;3;0;0;0;0;0;0;1;0;0;1;1;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;3;0;0;2;1;2;.;.;.;.;14;12;14;12;.;.;1;1;2;1;22;.;4;0;1;.
53;1;2;5;2;1;3;1;3;1;0;10;10;10;Public Academy for Performing Arts;0;1;4;2;1;4;10;10;2;9;5;3;3;1;2;5;3;0;1;1;1;1;5;2,5;5;0;4;2;0;0;10;3;3;0;2;7;7;1;2;3;6;2;0;0;0;0;5;0;1;7;7;3;3;2;7;0;0;0;0;0;4;0;0;Center Director Secritary;.;NA;.;16;13;16;.;.;.;1;1;2;1;21;.;4;0;1;.
54;1;2;4;1;1;2;1;1;1;0;6;6;10;Highland HS;0;1;4;3;1;3;7;7;7;8;8;3;1;3;5;3;2;0;0;1;2;1,5;3;4,5;4;5;4;3;0;0;3; ;3;3;6;7;5;1;2;4;3;1;0;5;10;10;7;8;1;3;2;5;6;4;7;1;0;0;0;0;3;1;0;NA;.;NA;.;0;10;10;.;.;.;1;0;0;0;18;.;4;0;1;.
55;3;2;4;1;1;3;1;2;2;1;2;3;0;Santa Fe Indian School;0;1;3;3;2;2;8;9;8;9;8;2;3;1;5;6;3;0;0;2;3;2,5;1;4,5;4;5;0;0;0;0;0;1;0;0;2;6;1;4;3;5;7;1;0;1;1;1;0;0;1;3;3;4;2;6;7;0;0;0;0;0;4;1;2;.;.;.;.;12;12;12;14;14;.;1;0;0;0;28;0;5;0;0;Keres
